ダウンロードした時刻：2018/06/07 20:52:08

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/4/1,5.9,8,1,45,8,1
1987/4/2,7.9,8,1,87,8,1
1987/4/3,8.4,8,1,78,8,1
1987/4/4,11.4,8,1,67,8,1
1987/4/5,14.3,8,1,66,8,1
1987/4/6,14.1,8,1,72,8,1
1987/4/7,13.2,8,1,94,8,1
1987/4/8,16.3,8,1,57,8,1
1987/4/9,14.1,8,1,73,8,1
1987/4/10,16.7,8,1,86,8,1
1987/4/11,13.2,8,1,77,8,1
1987/4/12,6.1,8,1,78,8,1
1987/4/13,7.5,8,1,37,8,1
1987/4/14,6.9,8,1,55,8,1
1987/4/15,11.0,8,1,55,8,1
1987/4/16,11.2,8,1,54,8,1
1987/4/17,12.9,8,1,62,8,1
1987/4/18,15.3,8,1,70,8,1
1987/4/19,17.1,8,1,65,8,1
1987/4/20,17.9,8,1,69,8,1
1987/4/21,20.0,8,1,66,8,1
1987/4/22,20.5,8,1,67,8,1
1987/4/23,16.7,8,1,57,8,1
1987/4/24,16.7,8,1,55,8,1
1987/4/25,15.1,8,1,39,8,1
1987/4/26,11.9,8,1,90,8,1
1987/4/27,10.8,8,1,67,8,1
1987/4/28,14.3,8,1,66,8,1
1987/4/29,16.9,8,1,64,8,1
1987/4/30,18.8,8,1,69,8,1
1988/4/1,7.9,8,1,66,8,1
1988/4/2,9.2,8,1,71,8,1
1988/4/3,12.2,8,1,69,8,1
1988/4/4,12.2,8,1,56,8,1
1988/4/5,12.8,8,1,59,8,1
1988/4/6,13.8,8,1,64,8,1
1988/4/7,6.8,8,1,74,8,1
1988/4/8,4.0,8,1,82,8,1
1988/4/9,7.2,8,1,49,8,1
1988/4/10,9.3,8,1,56,8,1
1988/4/11,12.3,8,1,55,8,1
1988/4/12,15.4,8,1,58,8,1
1988/4/13,16.1,8,1,81,8,1
1988/4/14,15.9,8,1,76,8,1
1988/4/15,13.6,8,1,57,8,1
1988/4/16,14.1,8,1,38,8,1
1988/4/17,14.0,8,1,64,8,1
1988/4/18,15.1,8,1,62,8,1
1988/4/19,17.6,8,1,75,8,1
1988/4/20,18.9,8,1,61,8,1
1988/4/21,16.0,8,1,71,8,1
1988/4/22,16.8,8,1,75,8,1
1988/4/23,13.2,8,1,62,8,1
1988/4/24,12.6,8,1,54,8,1
1988/4/25,14.1,8,1,57,8,1
1988/4/26,17.4,8,1,57,8,1
1988/4/27,18.4,8,1,66,8,1
1988/4/28,18.5,8,1,69,8,1
1988/4/29,17.7,8,1,87,8,1
1988/4/30,19.7,8,1,80,8,1
1989/4/1,15.3,8,1,69,8,1
1989/4/2,13.2,8,1,42,8,1
1989/4/3,13.3,8,1,83,8,1
1989/4/4,14.0,8,1,55,8,1
1989/4/5,10.5,8,1,76,8,1
1989/4/6,12.6,8,1,61,8,1
1989/4/7,14.0,8,1,60,8,1
1989/4/8,15.2,8,1,86,8,1
1989/4/9,17.2,8,1,77,8,1
1989/4/10,14.9,8,1,75,8,1
1989/4/11,14.0,8,1,81,8,1
1989/4/12,11.1,8,1,64,8,1
1989/4/13,14.6,8,1,54,8,1
1989/4/14,16.4,8,1,57,8,1
1989/4/15,17.4,8,1,69,8,1
1989/4/16,18.5,8,1,84,8,1
1989/4/17,17.4,8,1,46,8,1
1989/4/18,17.6,8,1,46,8,1
1989/4/19,17.5,8,1,62,8,1
1989/4/20,17.7,8,1,71,8,1
1989/4/21,14.8,8,1,50,8,1
1989/4/22,16.9,8,1,61,8,1
1989/4/23,16.1,8,1,83,8,1
1989/4/24,15.7,8,1,90,8,1
1989/4/25,14.1,8,1,48,8,1
1989/4/26,14.5,8,1,65,8,1
1989/4/27,17.1,8,1,69,8,1
1989/4/28,12.6,8,1,37,8,1
1989/4/29,12.8,8,1,40,8,1
1989/4/30,16.2,8,1,57,8,1
1990/4/1,16.1,8,1,75,8,1
1990/4/2,14.3,8,1,80,8,1
1990/4/3,16.2,8,1,67,8,1
1990/4/4,16.5,8,1,76,8,1
1990/4/5,10.6,8,1,36,8,1
1990/4/6,11.7,8,1,43,8,1
1990/4/7,13.3,8,1,55,8,1
1990/4/8,16.1,8,1,59,8,1
1990/4/9,13.7,8,1,48,8,1
1990/4/10,16.1,8,1,53,8,1
1990/4/11,15.3,8,1,63,8,1
1990/4/12,15.3,8,1,70,8,1
1990/4/13,17.1,8,1,75,8,1
1990/4/14,15.1,8,1,87,8,1
1990/4/15,11.7,8,1,86,8,1
1990/4/16,9.7,8,1,81,8,1
1990/4/17,10.1,8,1,85,8,1
1990/4/18,9.6,8,1,77,8,1
1990/4/19,10.8,8,1,65,8,1
1990/4/20,12.4,8,1,66,8,1
1990/4/21,13.5,8,1,91,8,1
1990/4/22,15.8,8,1,93,8,1
1990/4/23,18.9,8,1,78,8,1
1990/4/24,15.0,8,1,55,8,1
1990/4/25,13.7,8,1,51,8,1
1990/4/26,16.4,8,1,75,8,1
1990/4/27,16.6,8,1,79,8,1
1990/4/28,17.5,8,1,82,8,1
1990/4/29,16.0,8,1,70,8,1
1990/4/30,15.0,8,1,25,8,1
1991/4/1,6.4,8,1,76,8,1
1991/4/2,6.9,8,1,53,8,1
1991/4/3,8.5,8,1,55,8,1
1991/4/4,11.3,8,1,67,8,1
1991/4/5,13.1,8,1,66,8,1
1991/4/6,15.2,8,1,81,8,1
1991/4/7,13.6,8,1,93,8,1
1991/4/8,11.7,8,1,94,8,1
1991/4/9,15.9,8,1,75,8,1
1991/4/10,15.9,8,1,74,8,1
1991/4/11,17.1,8,1,80,8,1
1991/4/12,15.4,8,1,75,8,1
1991/4/13,15.5,8,1,84,8,1
1991/4/14,15.6,8,1,85,8,1
1991/4/15,15.9,8,1,69,8,1
1991/4/16,17.5,8,1,65,8,1
1991/4/17,18.2,8,1,62,8,1
1991/4/18,19.8,8,1,74,8,1
1991/4/19,14.0,8,1,51,8,1
1991/4/20,14.6,8,1,60,8,1
1991/4/21,15.5,8,1,63,8,1
1991/4/22,15.2,8,1,36,8,1
