ダウンロードした時刻：2018/06/07 20:54:07

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/8/1,24.1,8,1,80,8,1
1987/8/2,21.8,8,1,83,8,1
1987/8/3,22.4,8,1,80,8,1
1987/8/4,24.1,8,1,78,8,1
1987/8/5,27.7,8,1,73,8,1
1987/8/6,26.1,8,1,84,8,1
1987/8/7,24.7,8,1,91,8,1
1987/8/8,27.8,8,1,81,8,1
1987/8/9,28.8,8,1,73,8,1
1987/8/10,27.5,8,1,80,8,1
1987/8/11,25.9,8,1,84,8,1
1987/8/12,26.5,8,1,80,8,1
1987/8/13,27.4,8,1,79,8,1
1987/8/14,26.9,8,1,80,8,1
1987/8/15,27.2,8,1,78,8,1
1987/8/16,27.8,8,1,78,8,1
1987/8/17,28.5,8,1,74,8,1
1987/8/18,25.4,8,1,83,8,1
1987/8/19,24.7,8,1,85,8,1
1987/8/20,27.3,8,1,79,8,1
1987/8/21,28.7,8,1,76,8,1
1987/8/22,27.6,8,1,78,8,1
1987/8/23,24.5,8,1,88,8,1
1987/8/24,25.7,8,1,79,8,1
1987/8/25,25.2,8,1,85,8,1
1987/8/26,28.4,8,1,78,8,1
1987/8/27,26.8,8,1,60,8,1
1987/8/28,25.8,8,1,78,8,1
1987/8/29,28.3,8,1,75,8,1
1987/8/30,28.3,8,1,78,8,1
1987/8/31,29.0,8,1,72,8,1
1988/8/1,26.3,8,1,68,8,1
1988/8/2,25.2,8,1,85,8,1
1988/8/3,24.8,8,1,85,8,1
1988/8/4,27.0,8,1,77,8,1
1988/8/5,28.2,8,1,72,8,1
1988/8/6,26.7,8,1,78,8,1
1988/8/7,26.5,8,1,79,8,1
1988/8/8,27.3,8,1,78,8,1
1988/8/9,27.3,8,1,77,8,1
1988/8/10,25.7,8,1,88,8,1
1988/8/11,24.7,8,1,92,8,1
1988/8/12,25.4,8,1,90,8,1
1988/8/13,26.4,8,1,86,8,1
1988/8/14,26.2,8,1,87,8,1
1988/8/15,25.4,8,1,86,8,1
1988/8/16,22.6,8,1,86,8,1
1988/8/17,25.3,8,1,89,8,1
1988/8/18,25.4,8,1,90,8,1
1988/8/19,26.7,8,1,80,8,1
1988/8/20,26.1,8,1,80,8,1
1988/8/21,26.9,8,1,78,8,1
1988/8/22,28.4,8,1,76,8,1
1988/8/23,28.7,8,1,80,8,1
1988/8/24,28.5,8,1,77,8,1
1988/8/25,26.2,8,1,92,8,1
1988/8/26,25.2,8,1,93,8,1
1988/8/27,26.4,8,1,88,8,1
1988/8/28,27.1,8,1,87,8,1
1988/8/29,26.9,8,1,89,8,1
1988/8/30,25.3,8,1,90,8,1
1988/8/31,25.9,8,1,81,8,1
1989/8/1,23.8,8,1,96,8,1
1989/8/2,27.2,8,1,84,8,1
1989/8/3,26.0,8,1,85,8,1
1989/8/4,26.2,8,1,81,8,1
1989/8/5,24.8,8,1,86,8,1
1989/8/6,24.6,8,1,94,8,1
1989/8/7,27.9,8,1,75,8,1
1989/8/8,27.7,8,1,76,8,1
1989/8/9,27.6,8,1,82,8,1
1989/8/10,28.7,8,1,70,8,1
1989/8/11,26.5,8,1,65,8,1
1989/8/12,26.5,8,1,79,8,1
1989/8/13,27.5,8,1,74,8,1
1989/8/14,27.9,8,1,68,8,1
1989/8/15,26.2,8,1,80,8,1
1989/8/16,26.2,8,1,80,8,1
1989/8/17,26.5,8,1,73,8,1
1989/8/18,27.3,8,1,78,8,1
1989/8/19,26.2,8,1,80,8,1
1989/8/20,25.2,8,1,83,8,1
1989/8/21,26.6,8,1,84,8,1
1989/8/22,27.3,8,1,78,8,1
1989/8/23,27.5,8,1,70,8,1
1989/8/24,26.8,8,1,78,8,1
1989/8/25,24.6,8,1,82,8,1
1989/8/26,23.9,8,1,88,8,1
1989/8/27,25.2,8,1,88,8,1
1989/8/28,27.1,8,1,73,8,1
1989/8/29,26.8,8,1,68,8,1
1989/8/30,26.5,8,1,76,8,1
1989/8/31,28.2,8,1,72,8,1
1990/8/1,25.6,8,1,74,8,1
1990/8/2,27.5,8,1,76,8,1
1990/8/3,27.5,8,1,73,8,1
1990/8/4,27.4,8,1,84,8,1
1990/8/5,27.3,8,1,79,8,1
1990/8/6,27.8,8,1,75,8,1
1990/8/7,28.9,8,1,68,8,1
1990/8/8,28.3,8,1,76,8,1
1990/8/9,27.4,8,1,83,8,1
1990/8/10,26.8,8,1,84,8,1
1990/8/11,29.1,8,1,77,8,1
1990/8/12,28.2,8,1,83,8,1
1990/8/13,28.5,8,1,78,8,1
1990/8/14,29.4,8,1,69,8,1
1990/8/15,29.7,8,1,67,8,1
1990/8/16,29.9,8,1,67,8,1
1990/8/17,29.1,8,1,70,8,1
1990/8/18,27.0,8,1,70,8,1
1990/8/19,25.9,8,1,74,8,1
1990/8/20,28.3,8,1,75,8,1
1990/8/21,29.2,8,1,76,8,1
1990/8/22,29.6,8,1,73,8,1
1990/8/23,29.8,8,1,72,8,1
1990/8/24,30.1,8,1,67,8,1
1990/8/25,28.4,8,1,66,8,1
1990/8/26,27.0,8,1,74,8,1
1990/8/27,25.5,8,1,66,8,1
1990/8/28,24.9,8,1,69,8,1
1990/8/29,25.3,8,1,70,8,1
1990/8/30,27.0,8,1,74,8,1
1990/8/31,28.4,8,1,77,8,1
1991/8/1,29.1,8,1,76,8,1
1991/8/2,29.2,8,1,79,8,1
1991/8/3,28.9,8,1,80,8,1
1991/8/4,24.5,8,1,75,8,1
1991/8/5,21.8,8,1,72,8,1
1991/8/6,20.9,8,1,85,8,1
1991/8/7,24.1,8,1,90,8,1
1991/8/8,25.3,8,1,79,8,1
1991/8/9,24.6,8,1,77,8,1
1991/8/10,22.8,8,1,79,8,1
1991/8/11,24.1,8,1,82,8,1
1991/8/12,25.8,8,1,82,8,1
1991/8/13,23.3,8,1,90,8,1
1991/8/14,23.1,8,1,77,8,1
1991/8/15,23.3,8,1,77,8,1
1991/8/16,22.8,8,1,75,8,1
1991/8/17,23.4,8,1,74,8,1
1991/8/18,24.2,8,1,80,8,1
