ダウンロードした時刻：2018/06/07 20:55:29

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/12/1,4.2,8,1,91,8,1
1987/12/2,6.0,8,1,39,8,1
1987/12/3,5.9,8,1,53,8,1
1987/12/4,6.4,8,1,52,8,1
1987/12/5,5.3,8,1,57,8,1
1987/12/6,2.6,8,1,91,8,1
1987/12/7,3.4,8,1,66,8,1
1987/12/8,4.8,8,1,61,8,1
1987/12/9,7.3,8,1,87,8,1
1987/12/10,10.9,8,1,79,8,1
1987/12/11,10.5,8,1,80,8,1
1987/12/12,8.2,8,1,74,8,1
1987/12/13,3.0,8,1,84,8,1
1987/12/14,5.4,8,1,64,8,1
1987/12/15,8.6,8,1,66,8,1
1987/12/16,9.8,8,1,63,8,1
1987/12/17,7.2,8,1,52,8,1
1987/12/18,4.8,8,1,45,8,1
1987/12/19,6.7,8,1,55,8,1
1987/12/20,6.9,8,1,71,8,1
1987/12/21,7.6,8,1,65,8,1
1987/12/22,6.3,8,1,59,8,1
1987/12/23,8.3,8,1,61,8,1
1987/12/24,9.3,8,1,71,8,1
1987/12/25,11.6,8,1,69,8,1
1987/12/26,13.9,8,1,55,8,1
1987/12/27,11.2,8,1,62,8,1
1987/12/28,10.6,8,1,68,8,1
1987/12/29,11.3,8,1,61,8,1
1987/12/30,10.2,8,1,58,8,1
1987/12/31,7.1,8,1,39,8,1
1988/12/1,8.0,8,1,46,8,1
1988/12/2,8.3,8,1,54,8,1
1988/12/3,7.9,8,1,68,8,1
1988/12/4,9.7,8,1,77,8,1
1988/12/5,11.3,8,1,61,8,1
1988/12/6,9.5,8,1,42,8,1
1988/12/7,8.7,8,1,59,8,1
1988/12/8,9.4,8,1,65,8,1
1988/12/9,12.4,8,1,73,8,1
1988/12/10,9.6,8,1,46,8,1
1988/12/11,7.7,8,1,52,8,1
1988/12/12,9.2,8,1,51,8,1
1988/12/13,10.0,8,1,65,8,1
1988/12/14,11.2,8,1,68,8,1
1988/12/15,9.2,8,1,43,8,1
1988/12/16,6.8,8,1,34,8,1
1988/12/17,5.6,8,1,42,8,1
1988/12/18,6.6,8,1,46,8,1
1988/12/19,6.8,8,1,60,8,1
1988/12/20,9.3,8,1,67,8,1
1988/12/21,7.6,8,1,50,8,1
1988/12/22,6.7,8,1,40,8,1
1988/12/23,6.5,8,1,49,8,1
1988/12/24,5.9,8,1,60,8,1
1988/12/25,6.4,8,1,46,8,1
1988/12/26,6.0,8,1,38,8,1
1988/12/27,4.1,8,1,57,8,1
1988/12/28,4.6,8,1,48,8,1
1988/12/29,5.2,8,1,36,8,1
1988/12/30,5.9,8,1,39,8,1
1988/12/31,5.8,8,1,54,8,1
1989/12/1,9.4,8,1,40,8,1
1989/12/2,10.3,8,1,56,8,1
1989/12/3,10.9,8,1,61,8,1
1989/12/4,12.5,8,1,70,8,1
1989/12/5,12.5,8,1,67,8,1
1989/12/6,12.0,8,1,63,8,1
1989/12/7,10.0,8,1,64,8,1
1989/12/8,9.7,8,1,60,8,1
1989/12/9,6.9,8,1,44,8,1
1989/12/10,7.6,8,1,38,8,1
1989/12/11,8.6,8,1,57,8,1
1989/12/12,8.1,8,1,48,8,1
1989/12/13,6.4,8,1,46,8,1
1989/12/14,5.7,8,1,83,8,1
1989/12/15,9.2,8,1,51,8,1
1989/12/16,9.1,8,1,49,8,1
1989/12/17,9.7,8,1,58,8,1
1989/12/18,9.6,8,1,53,8,1
1989/12/19,5.3,8,1,32,8,1
1989/12/20,6.8,8,1,33,8,1
1989/12/21,6.8,8,1,51,8,1
1989/12/22,7.6,8,1,64,8,1
1989/12/23,8.1,8,1,66,8,1
1989/12/24,6.1,8,1,80,8,1
1989/12/25,6.6,8,1,87,8,1
1989/12/26,8.5,8,1,82,8,1
1989/12/27,9.6,8,1,74,8,1
1989/12/28,7.2,8,1,47,8,1
1989/12/29,6.8,8,1,49,8,1
1989/12/30,6.6,8,1,64,8,1
1989/12/31,5.7,8,1,50,8,1
1990/12/1,19.7,8,1,63,8,1
1990/12/2,15.2,8,1,51,8,1
1990/12/3,12.5,8,1,42,8,1
1990/12/4,11.1,8,1,41,8,1
1990/12/5,9.7,8,1,66,8,1
1990/12/6,9.8,8,1,69,8,1
1990/12/7,9.7,8,1,65,8,1
1990/12/8,10.6,8,1,63,8,1
1990/12/9,10.2,8,1,75,8,1
1990/12/10,12.0,8,1,68,8,1
1990/12/11,12.3,8,1,76,8,1
1990/12/12,11.4,8,1,52,8,1
1990/12/13,8.5,8,1,47,8,1
1990/12/14,13.0,8,1,64,8,1
1990/12/15,11.3,8,1,54,8,1
1990/12/16,7.4,8,1,62,8,1
1990/12/17,6.9,8,1,41,8,1
1990/12/18,6.7,8,1,68,8,1
1990/12/19,7.7,8,1,49,8,1
1990/12/20,6.8,8,1,54,8,1
1990/12/21,7.0,8,1,75,8,1
1990/12/22,10.6,8,1,74,8,1
1990/12/23,11.7,8,1,42,8,1
1990/12/24,7.6,8,1,34,8,1
1990/12/25,7.8,8,1,45,8,1
1990/12/26,8.8,8,1,67,8,1
1990/12/27,7.8,8,1,40,8,1
1990/12/28,8.0,8,1,31,8,1
1990/12/29,7.0,8,1,47,8,1
1990/12/30,6.6,8,1,43,8,1
1990/12/31,6.4,8,1,50,8,1
1991/12/1,11.5,8,1,68,8,1
1991/12/2,11.6,8,1,65,8,1
1991/12/3,11.6,8,1,69,8,1
1991/12/4,10.7,8,1,70,8,1
1991/12/5,11.8,8,1,68,8,1
1991/12/6,12.6,8,1,70,8,1
1991/12/7,13.2,8,1,64,8,1
1991/12/8,10.8,8,1,78,8,1
1991/12/9,8.9,8,1,58,8,1
1991/12/10,7.4,8,1,49,8,1
1991/12/11,13.0,8,1,66,8,1
1991/12/12,7.7,8,1,41,8,1
1991/12/13,6.7,8,1,47,8,1
1991/12/14,8.3,8,1,52,8,1
1991/12/15,8.7,8,1,61,8,1
1991/12/16,9.6,8,1,67,8,1
1991/12/17,11.0,8,1,61,8,1
1991/12/18,12.4,8,1,63,8,1
