ダウンロードした時刻：2018/06/07 20:51:19

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/2/1,3.5,8,1,46,8,1
1987/2/2,1.1,8,1,84,8,1
1987/2/3,3.8,8,1,80,8,1
1987/2/4,4.4,8,1,42,8,1
1987/2/5,6.9,8,1,42,8,1
1987/2/6,8.1,8,1,49,8,1
1987/2/7,8.6,8,1,70,8,1
1987/2/8,8.7,8,1,54,8,1
1987/2/9,7.6,8,1,54,8,1
1987/2/10,10.4,8,1,64,8,1
1987/2/11,14.8,8,1,78,8,1
1987/2/12,13.6,8,1,79,8,1
1987/2/13,5.9,8,1,64,8,1
1987/2/14,9.9,8,1,57,8,1
1987/2/15,5.3,8,1,53,8,1
1987/2/16,5.0,8,1,40,8,1
1987/2/17,3.3,8,1,54,8,1
1987/2/18,1.9,8,1,89,8,1
1987/2/19,4.4,8,1,58,8,1
1987/2/20,4.0,8,1,51,8,1
1987/2/21,3.8,8,1,55,8,1
1987/2/22,4.0,8,1,89,8,1
1987/2/23,6.4,8,1,83,8,1
1987/2/24,9.0,8,1,74,8,1
1987/2/25,7.7,8,1,40,8,1
1987/2/26,4.2,8,1,46,8,1
1987/2/27,4.5,8,1,41,8,1
1987/2/28,5.1,8,1,34,8,1
1987/3/1,3.9,8,1,64,8,1
1988/2/1,4.8,8,1,49,8,1
1988/2/2,7.6,8,1,49,8,1
1988/2/3,2.3,8,1,30,8,1
1988/2/4,3.9,8,1,42,8,1
1988/2/5,11.3,8,1,64,8,1
1988/2/6,8.6,8,1,72,8,1
1988/2/7,4.2,8,1,43,8,1
1988/2/8,3.8,8,1,28,8,1
1988/2/9,4.3,8,1,41,8,1
1988/2/10,4.0,8,1,44,8,1
1988/2/11,4.6,8,1,32,8,1
1988/2/12,2.7,8,1,86,8,1
1988/2/13,5.5,8,1,49,8,1
1988/2/14,4.5,8,1,40,8,1
1988/2/15,2.7,8,1,42,8,1
1988/2/16,1.8,8,1,34,8,1
1988/2/17,1.3,8,1,43,8,1
1988/2/18,2.2,8,1,45,8,1
1988/2/19,3.2,8,1,39,8,1
1988/2/20,5.3,8,1,43,8,1
1988/2/21,3.7,8,1,34,8,1
1988/2/22,2.3,8,1,45,8,1
1988/2/23,6.5,8,1,53,8,1
1988/2/24,5.0,8,1,71,8,1
1988/2/25,2.9,8,1,75,8,1
1988/2/26,4.6,8,1,64,8,1
1988/2/27,2.2,8,1,90,8,1
1988/2/28,4.6,8,1,44,8,1
1988/2/29,7.1,8,1,50,8,1
1989/2/1,8.2,8,1,82,8,1
1989/2/2,5.2,8,1,42,8,1
1989/2/3,4.8,8,1,31,8,1
1989/2/4,5.6,8,1,30,8,1
1989/2/5,6.2,8,1,43,8,1
1989/2/6,6.7,8,1,55,8,1
1989/2/7,7.5,8,1,47,8,1
1989/2/8,8.1,8,1,74,8,1
1989/2/9,9.9,8,1,88,8,1
1989/2/10,5.1,8,1,87,8,1
1989/2/11,5.0,8,1,44,8,1
1989/2/12,6.2,8,1,51,8,1
1989/2/13,5.1,8,1,47,8,1
1989/2/14,6.4,8,1,41,8,1
1989/2/15,8.3,8,1,52,8,1
1989/2/16,14.2,8,1,77,8,1
1989/2/17,10.2,8,1,93,8,1
1989/2/18,5.5,8,1,87,8,1
1989/2/19,7.1,8,1,60,8,1
1989/2/20,10.1,8,1,72,8,1
1989/2/21,9.0,8,1,71,8,1
1989/2/22,5.7,8,1,66,8,1
1989/2/23,4.7,8,1,50,8,1
1989/2/24,3.9,8,1,91,8,1
1989/2/25,5.1,8,1,89,8,1
1989/2/26,7.2,8,1,63,8,1
1989/2/27,7.6,8,1,50,8,1
1989/2/28,11.0,8,1,77,8,1
1989/3/1,13.2,8,1,78,8,1
1990/2/1,0.8,8,1,93,8,1
1990/2/2,1.6,8,1,70,8,1
1990/2/3,2.1,8,1,75,8,1
1990/2/4,3.9,8,1,88,8,1
1990/2/5,3.1,8,1,86,8,1
1990/2/6,4.8,8,1,70,8,1
1990/2/7,5.4,8,1,74,8,1
1990/2/8,7.2,8,1,63,8,1
1990/2/9,4.3,8,1,68,8,1
1990/2/10,4.6,8,1,58,8,1
1990/2/11,12.8,8,1,79,8,1
1990/2/12,10.8,8,1,63,8,1
1990/2/13,7.5,8,1,42,8,1
1990/2/14,3.9,8,1,68,8,1
1990/2/15,4.1,8,1,89,8,1
1990/2/16,5.5,8,1,86,8,1
1990/2/17,7.6,8,1,64,8,1
1990/2/18,9.1,8,1,61,8,1
1990/2/19,8.8,8,1,81,8,1
1990/2/20,12.7,8,1,88,8,1
1990/2/21,12.1,8,1,66,8,1
1990/2/22,12.4,8,1,59,8,1
1990/2/23,12.5,8,1,82,8,1
1990/2/24,13.1,8,1,89,8,1
1990/2/25,11.6,8,1,86,8,1
1990/2/26,9.4,8,1,87,8,1
1990/2/27,7.6,8,1,82,8,1
1990/2/28,7.5,8,1,55,8,1
1990/3/1,7.7,8,1,73,8,1
1991/2/1,5.9,8,1,46,8,1
1991/2/2,5.3,8,1,36,8,1
1991/2/3,5.8,8,1,35,8,1
1991/2/4,6.0,8,1,47,8,1
1991/2/5,5.1,8,1,40,8,1
1991/2/6,4.9,8,1,49,8,1
1991/2/7,6.3,8,1,45,8,1
1991/2/8,5.1,8,1,57,8,1
1991/2/9,5.7,8,1,45,8,1
1991/2/10,4.8,8,1,74,8,1
1991/2/11,8.5,8,1,73,8,1
1991/2/12,7.7,8,1,63,8,1
1991/2/13,7.1,8,1,36,8,1
1991/2/14,7.9,8,1,49,8,1
1991/2/15,9.1,8,1,88,8,1
1991/2/16,11.9,8,1,55,8,1
1991/2/17,6.7,8,1,40,8,1
1991/2/18,4.7,8,1,38,8,1
1991/2/19,5.3,8,1,43,8,1
1991/2/20,3.9,8,1,47,8,1
1991/2/21,5.5,8,1,48,8,1
1991/2/22,5.8,8,1,43,8,1
1991/2/23,4.7,8,1,38,8,1
1991/2/24,3.5,8,1,39,8,1
1991/2/25,4.2,8,1,31,8,1
1991/2/26,6.3,8,1,36,8,1
