ダウンロードした時刻：2018/06/07 20:50:54

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/1/1,7.0,8,1,40,8,1
1987/1/2,2.9,8,1,60,8,1
1987/1/3,5.4,8,1,89,8,1
1987/1/4,6.2,8,1,56,8,1
1987/1/5,2.3,8,1,61,8,1
1987/1/6,3.4,8,1,78,8,1
1987/1/7,4.1,8,1,64,8,1
1987/1/8,7.5,8,1,60,8,1
1987/1/9,7.7,8,1,68,8,1
1987/1/10,4.7,8,1,48,8,1
1987/1/11,2.1,8,1,35,8,1
1987/1/12,2.1,8,1,68,8,1
1987/1/13,5.2,8,1,66,8,1
1987/1/14,4.3,8,1,35,8,1
1987/1/15,6.0,8,1,57,8,1
1987/1/16,7.9,8,1,69,8,1
1987/1/17,11.7,8,1,64,8,1
1987/1/18,6.7,8,1,37,8,1
1987/1/19,4.9,8,1,47,8,1
1987/1/20,1.9,8,1,47,8,1
1987/1/21,1.9,8,1,46,8,1
1987/1/22,4.3,8,1,48,8,1
1987/1/23,7.7,8,1,71,8,1
1987/1/24,10.5,8,1,73,8,1
1987/1/25,3.6,8,1,44,8,1
1987/1/26,3.0,8,1,33,8,1
1987/1/27,4.7,8,1,51,8,1
1987/1/28,6.3,8,1,51,8,1
1987/1/29,7.7,8,1,58,8,1
1987/1/30,8.3,8,1,58,8,1
1987/1/31,4.4,8,1,61,8,1
1988/1/1,7.7,8,1,55,8,1
1988/1/2,8.3,8,1,63,8,1
1988/1/3,8.5,8,1,76,8,1
1988/1/4,8.8,8,1,72,8,1
1988/1/5,5.0,8,1,72,8,1
1988/1/6,3.5,8,1,69,8,1
1988/1/7,2.2,8,1,66,8,1
1988/1/8,7.3,8,1,76,8,1
1988/1/9,8.8,8,1,51,8,1
1988/1/10,3.8,8,1,45,8,1
1988/1/11,5.4,8,1,36,8,1
1988/1/12,7.8,8,1,40,8,1
1988/1/13,8.0,8,1,62,8,1
1988/1/14,9.3,8,1,64,8,1
1988/1/15,9.6,8,1,62,8,1
1988/1/16,8.8,8,1,67,8,1
1988/1/17,6.3,8,1,55,8,1
1988/1/18,5.2,8,1,49,8,1
1988/1/19,5.2,8,1,44,8,1
1988/1/20,7.2,8,1,61,8,1
1988/1/21,6.2,8,1,77,8,1
1988/1/22,11.9,8,1,89,8,1
1988/1/23,12.0,8,1,45,8,1
1988/1/24,6.0,8,1,38,8,1
1988/1/25,6.3,8,1,52,8,1
1988/1/26,7.5,8,1,43,8,1
1988/1/27,6.6,8,1,49,8,1
1988/1/28,7.7,8,1,44,8,1
1988/1/29,9.1,8,1,63,8,1
1988/1/30,7.2,8,1,50,8,1
1988/1/31,6.7,8,1,55,8,1
1989/1/1,9.1,8,1,58,8,1
1989/1/2,9.0,8,1,49,8,1
1989/1/3,7.4,8,1,55,8,1
1989/1/4,6.4,8,1,36,8,1
1989/1/5,5.6,8,1,36,8,1
1989/1/6,6.2,8,1,45,8,1
1989/1/7,7.8,8,1,57,8,1
1989/1/8,7.6,8,1,91,8,1
1989/1/9,9.3,8,1,75,8,1
1989/1/10,9.1,8,1,78,8,1
1989/1/11,9.9,8,1,66,8,1
1989/1/12,8.4,8,1,87,8,1
1989/1/13,7.1,8,1,67,8,1
1989/1/14,5.6,8,1,66,8,1
1989/1/15,4.2,8,1,58,8,1
1989/1/16,4.9,8,1,61,8,1
1989/1/17,5.2,8,1,57,8,1
1989/1/18,8.0,8,1,67,8,1
1989/1/19,13.0,8,1,81,8,1
1989/1/20,16.5,8,1,87,8,1
1989/1/21,11.1,8,1,51,8,1
1989/1/22,7.7,8,1,39,8,1
1989/1/23,5.5,8,1,90,8,1
1989/1/24,8.1,8,1,57,8,1
1989/1/25,7.0,8,1,41,8,1
1989/1/26,5.3,8,1,66,8,1
1989/1/27,9.0,8,1,60,8,1
1989/1/28,3.2,8,1,30,8,1
1989/1/29,5.1,8,1,34,8,1
1989/1/30,7.6,8,1,38,8,1
1989/1/31,9.8,8,1,62,8,1
1990/1/1,4.8,8,1,42,8,1
1990/1/2,5.3,8,1,50,8,1
1990/1/3,5.5,8,1,55,8,1
1990/1/4,5.8,8,1,36,8,1
1990/1/5,5.7,8,1,39,8,1
1990/1/6,8.9,8,1,54,8,1
1990/1/7,5.6,8,1,34,8,1
1990/1/8,5.1,8,1,45,8,1
1990/1/9,5.1,8,1,70,8,1
1990/1/10,8.9,8,1,85,8,1
1990/1/11,10.7,8,1,40,8,1
1990/1/12,6.9,8,1,69,8,1
1990/1/13,5.3,8,1,55,8,1
1990/1/14,3.2,8,1,48,8,1
1990/1/15,4.9,8,1,48,8,1
1990/1/16,1.1,8,1,92,8,1
1990/1/17,2.8,8,1,69,8,1
1990/1/18,7.5,8,1,65,8,1
1990/1/19,9.7,8,1,83,8,1
1990/1/20,4.3,8,1,62,8,1
1990/1/21,3.5,8,1,55,8,1
1990/1/22,6.3,8,1,56,8,1
1990/1/23,3.0,8,1,64,8,1
1990/1/24,3.2,8,1,57,8,1
1990/1/25,2.7,8,1,34,8,1
1990/1/26,1.8,8,1,38,8,1
1990/1/27,1.9,8,1,36,8,1
1990/1/28,3.3,8,1,43,8,1
1990/1/29,3.7,8,1,58,8,1
1990/1/30,6.9,8,1,58,8,1
1990/1/31,1.0,8,1,91,8,1
1991/1/1,6.3,8,1,73,8,1
1991/1/2,8.3,8,1,79,8,1
1991/1/3,7.9,8,1,67,8,1
1991/1/4,7.2,8,1,54,8,1
1991/1/5,6.5,8,1,51,8,1
1991/1/6,5.4,8,1,40,8,1
1991/1/7,5.3,8,1,39,8,1
1991/1/8,6.5,8,1,50,8,1
1991/1/9,5.4,8,1,41,8,1
1991/1/10,7.3,8,1,45,8,1
1991/1/11,8.0,8,1,44,8,1
1991/1/12,3.4,8,1,82,8,1
1991/1/13,5.9,8,1,63,8,1
1991/1/14,6.5,8,1,46,8,1
1991/1/15,4.9,8,1,45,8,1
1991/1/16,4.7,8,1,49,8,1
1991/1/17,6.6,8,1,62,8,1
1991/1/18,5.5,8,1,35,8,1
