ダウンロードした時刻：2018/06/07 20:53:50

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/7/1,21.7,8,1,85,8,1
1987/7/2,24.0,8,1,86,8,1
1987/7/3,23.0,8,1,90,8,1
1987/7/4,25.3,8,1,74,8,1
1987/7/5,20.3,8,1,85,8,1
1987/7/6,21.9,8,1,81,8,1
1987/7/7,26.0,8,1,77,8,1
1987/7/8,25.2,8,1,79,8,1
1987/7/9,25.5,8,1,84,8,1
1987/7/10,26.5,8,1,79,8,1
1987/7/11,26.6,8,1,80,8,1
1987/7/12,26.1,8,1,79,8,1
1987/7/13,27.8,8,1,80,8,1
1987/7/14,28.2,8,1,82,8,1
1987/7/15,28.7,8,1,77,8,1
1987/7/16,28.0,8,1,73,8,1
1987/7/17,27.8,8,1,72,8,1
1987/7/18,25.3,8,1,85,8,1
1987/7/19,23.9,8,1,90,8,1
1987/7/20,22.3,8,1,93,8,1
1987/7/21,23.1,8,1,83,8,1
1987/7/22,27.5,8,1,80,8,1
1987/7/23,28.8,8,1,77,8,1
1987/7/24,29.2,8,1,74,8,1
1987/7/25,27.8,8,1,78,8,1
1987/7/26,28.1,8,1,74,8,1
1987/7/27,29.1,8,1,74,8,1
1987/7/28,28.0,8,1,76,8,1
1987/7/29,29.7,8,1,71,8,1
1987/7/30,29.0,8,1,70,8,1
1987/7/31,27.2,8,1,80,8,1
1988/7/1,21.0,8,1,79,8,1
1988/7/2,20.6,8,1,72,8,1
1988/7/3,19.8,8,1,75,8,1
1988/7/4,20.6,8,1,84,8,1
1988/7/5,20.2,8,1,82,8,1
1988/7/6,22.4,8,1,80,8,1
1988/7/7,24.1,8,1,80,8,1
1988/7/8,25.3,8,1,82,8,1
1988/7/9,26.8,8,1,79,8,1
1988/7/10,25.1,8,1,86,8,1
1988/7/11,24.3,8,1,93,8,1
1988/7/12,24.8,8,1,75,8,1
1988/7/13,21.9,8,1,80,8,1
1988/7/14,20.9,8,1,86,8,1
1988/7/15,22.8,8,1,90,8,1
1988/7/16,23.0,8,1,95,8,1
1988/7/17,21.8,8,1,93,8,1
1988/7/18,21.8,8,1,83,8,1
1988/7/19,20.9,8,1,80,8,1
1988/7/20,21.4,8,1,85,8,1
1988/7/21,21.6,8,1,91,8,1
1988/7/22,21.4,8,1,82,8,1
1988/7/23,20.3,8,1,86,8,1
1988/7/24,19.4,8,1,85,8,1
1988/7/25,19.8,8,1,79,8,1
1988/7/26,20.7,8,1,80,8,1
1988/7/27,19.0,8,1,95,8,1
1988/7/28,19.2,8,1,95,8,1
1988/7/29,19.9,8,1,89,8,1
1988/7/30,20.2,8,1,81,8,1
1988/7/31,23.1,8,1,73,8,1
1989/7/1,19.2,8,1,77,8,1
1989/7/2,16.8,8,1,80,8,1
1989/7/3,17.1,8,1,95,8,1
1989/7/4,19.4,8,1,88,8,1
1989/7/5,20.0,8,1,83,8,1
1989/7/6,20.7,8,1,80,8,1
1989/7/7,21.6,8,1,80,8,1
1989/7/8,23.1,8,1,89,8,1
1989/7/9,24.7,8,1,89,8,1
1989/7/10,24.2,8,1,88,8,1
1989/7/11,25.7,8,1,74,8,1
1989/7/12,24.5,8,1,86,8,1
1989/7/13,20.4,8,1,94,8,1
1989/7/14,22.5,8,1,84,8,1
1989/7/15,23.2,8,1,83,8,1
1989/7/16,22.7,8,1,87,8,1
1989/7/17,22.5,8,1,87,8,1
1989/7/18,22.9,8,1,82,8,1
1989/7/19,23.6,8,1,81,8,1
1989/7/20,25.1,8,1,75,8,1
1989/7/21,25.7,8,1,75,8,1
1989/7/22,25.8,8,1,77,8,1
1989/7/23,26.5,8,1,74,8,1
1989/7/24,27.2,8,1,76,8,1
1989/7/25,27.7,8,1,77,8,1
1989/7/26,26.6,8,1,85,8,1
1989/7/27,26.6,8,1,79,8,1
1989/7/28,26.2,8,1,85,8,1
1989/7/29,25.6,8,1,86,8,1
1989/7/30,26.0,8,1,79,8,1
1989/7/31,25.8,8,1,83,8,1
1990/7/1,19.7,8,1,77,8,1
1990/7/2,21.4,8,1,77,8,1
1990/7/3,22.8,8,1,76,8,1
1990/7/4,23.7,8,1,85,8,1
1990/7/5,25.2,8,1,76,8,1
1990/7/6,25.2,8,1,65,8,1
1990/7/7,23.1,8,1,76,8,1
1990/7/8,21.8,8,1,74,8,1
1990/7/9,21.5,8,1,76,8,1
1990/7/10,20.6,8,1,87,8,1
1990/7/11,22.9,8,1,77,8,1
1990/7/12,20.2,8,1,87,8,1
1990/7/13,21.3,8,1,91,8,1
1990/7/14,24.8,8,1,78,8,1
1990/7/15,27.5,8,1,78,8,1
1990/7/16,27.9,8,1,78,8,1
1990/7/17,29.0,8,1,70,8,1
1990/7/18,29.2,8,1,72,8,1
1990/7/19,29.5,8,1,69,8,1
1990/7/20,26.5,8,1,68,8,1
1990/7/21,24.9,8,1,75,8,1
1990/7/22,27.2,8,1,76,8,1
1990/7/23,28.0,8,1,77,8,1
1990/7/24,28.6,8,1,72,8,1
1990/7/25,28.1,8,1,70,8,1
1990/7/26,27.1,8,1,78,8,1
1990/7/27,26.2,8,1,72,8,1
1990/7/28,24.8,8,1,72,8,1
1990/7/29,24.7,8,1,72,8,1
1990/7/30,26.0,8,1,69,8,1
1990/7/31,25.5,8,1,70,8,1
1991/7/1,24.7,8,1,78,8,1
1991/7/2,22.3,8,1,79,8,1
1991/7/3,22.3,8,1,77,8,1
1991/7/4,23.9,8,1,77,8,1
1991/7/5,24.9,8,1,83,8,1
1991/7/6,22.0,8,1,86,8,1
1991/7/7,23.9,8,1,80,8,1
1991/7/8,27.5,8,1,71,8,1
1991/7/9,25.9,8,1,60,8,1
1991/7/10,23.8,8,1,83,8,1
1991/7/11,27.2,8,1,75,8,1
1991/7/12,25.4,8,1,79,8,1
1991/7/13,22.1,8,1,88,8,1
1991/7/14,21.5,8,1,80,8,1
1991/7/15,23.8,8,1,76,8,1
1991/7/16,24.7,8,1,85,8,1
1991/7/17,26.5,8,1,76,8,1
1991/7/18,25.0,8,1,87,8,1
