ダウンロードした時刻：2018/06/07 20:53:29

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/6/1,22.1,8,1,74,8,1
1987/6/2,21.9,8,1,67,8,1
1987/6/3,22.2,8,1,83,8,1
1987/6/4,24.3,8,1,75,8,1
1987/6/5,25.6,8,1,68,8,1
1987/6/6,25.4,8,1,72,8,1
1987/6/7,25.9,8,1,68,8,1
1987/6/8,25.6,8,1,70,8,1
1987/6/9,24.6,8,1,78,8,1
1987/6/10,16.2,8,1,92,8,1
1987/6/11,18.6,8,1,66,8,1
1987/6/12,18.4,8,1,70,8,1
1987/6/13,20.0,8,1,73,8,1
1987/6/14,20.5,8,1,76,8,1
1987/6/15,17.7,8,1,88,8,1
1987/6/16,21.3,8,1,70,8,1
1987/6/17,22.3,8,1,72,8,1
1987/6/18,22.9,8,1,76,8,1
1987/6/19,23.0,8,1,74,8,1
1987/6/20,18.4,8,1,87,8,1
1987/6/21,18.5,8,1,71,8,1
1987/6/22,20.1,8,1,70,8,1
1987/6/23,21.6,8,1,68,8,1
1987/6/24,22.5,8,1,74,8,1
1987/6/25,19.8,8,1,74,8,1
1987/6/26,19.9,8,1,79,8,1
1987/6/27,18.0,8,1,84,8,1
1987/6/28,17.4,8,1,78,8,1
1987/6/29,16.4,8,1,91,8,1
1987/6/30,18.9,8,1,81,8,1
1988/6/1,19.6,8,1,76,8,1
1988/6/2,20.2,8,1,75,8,1
1988/6/3,23.5,8,1,87,8,1
1988/6/4,24.5,8,1,70,8,1
1988/6/5,22.6,8,1,61,8,1
1988/6/6,21.6,8,1,65,8,1
1988/6/7,23.2,8,1,73,8,1
1988/6/8,23.8,8,1,70,8,1
1988/6/9,21.3,8,1,87,8,1
1988/6/10,20.9,8,1,68,8,1
1988/6/11,19.8,8,1,72,8,1
1988/6/12,18.6,8,1,89,8,1
1988/6/13,20.9,8,1,80,8,1
1988/6/14,22.8,8,1,76,8,1
1988/6/15,23.2,8,1,79,8,1
1988/6/16,23.2,8,1,80,8,1
1988/6/17,23.0,8,1,68,8,1
1988/6/18,22.9,8,1,80,8,1
1988/6/19,22.8,8,1,72,8,1
1988/6/20,23.3,8,1,71,8,1
1988/6/21,19.7,8,1,83,8,1
1988/6/22,21.0,8,1,73,8,1
1988/6/23,21.5,8,1,76,8,1
1988/6/24,20.7,8,1,81,8,1
1988/6/25,20.5,8,1,94,8,1
1988/6/26,21.7,8,1,90,8,1
1988/6/27,20.9,8,1,92,8,1
1988/6/28,20.4,8,1,81,8,1
1988/6/29,20.4,8,1,80,8,1
1988/6/30,20.8,8,1,92,8,1
1989/6/1,20.5,8,1,74,8,1
1989/6/2,20.7,8,1,74,8,1
1989/6/3,21.1,8,1,70,8,1
1989/6/4,21.5,8,1,75,8,1
1989/6/5,22.9,8,1,66,8,1
1989/6/6,24.1,8,1,76,8,1
1989/6/7,23.9,8,1,52,8,1
1989/6/8,20.3,8,1,60,8,1
1989/6/9,13.1,8,1,89,8,1
1989/6/10,13.1,8,1,91,8,1
1989/6/11,13.8,8,1,89,8,1
1989/6/12,17.4,8,1,65,8,1
1989/6/13,19.0,8,1,71,8,1
1989/6/14,20.3,8,1,63,8,1
1989/6/15,20.9,8,1,70,8,1
1989/6/16,21.0,8,1,85,8,1
1989/6/17,20.6,8,1,82,8,1
1989/6/18,16.4,8,1,82,8,1
1989/6/19,15.7,8,1,90,8,1
1989/6/20,17.4,8,1,84,8,1
1989/6/21,18.5,8,1,78,8,1
1989/6/22,19.3,8,1,85,8,1
1989/6/23,20.1,8,1,96,8,1
1989/6/24,19.4,8,1,95,8,1
1989/6/25,21.4,8,1,89,8,1
1989/6/26,23.4,8,1,80,8,1
1989/6/27,23.4,8,1,81,8,1
1989/6/28,20.7,8,1,94,8,1
1989/6/29,24.2,8,1,81,8,1
1989/6/30,23.8,8,1,63,8,1
1990/6/1,21.3,8,1,72,8,1
1990/6/2,20.8,8,1,86,8,1
1990/6/3,22.3,8,1,66,8,1
1990/6/4,21.4,8,1,78,8,1
1990/6/5,18.6,8,1,79,8,1
1990/6/6,19.6,8,1,77,8,1
1990/6/7,21.7,8,1,76,8,1
1990/6/8,21.3,8,1,69,8,1
1990/6/9,21.6,8,1,91,8,1
1990/6/10,23.7,8,1,78,8,1
1990/6/11,23.4,8,1,74,8,1
1990/6/12,23.2,8,1,78,8,1
1990/6/13,22.3,8,1,83,8,1
1990/6/14,22.5,8,1,79,8,1
1990/6/15,22.9,8,1,86,8,1
1990/6/16,25.1,8,1,79,8,1
1990/6/17,25.0,8,1,67,8,1
1990/6/18,24.9,8,1,69,8,1
1990/6/19,24.4,8,1,72,8,1
1990/6/20,24.4,8,1,79,8,1
1990/6/21,25.4,8,1,79,8,1
1990/6/22,28.4,8,1,69,8,1
1990/6/23,25.4,8,1,67,8,1
1990/6/24,25.7,8,1,79,8,1
1990/6/25,26.2,8,1,81,8,1
1990/6/26,23.9,8,1,76,8,1
1990/6/27,20.4,8,1,86,8,1
1990/6/28,18.6,8,1,82,8,1
1990/6/29,18.9,8,1,69,8,1
1990/6/30,19.5,8,1,73,8,1
1991/6/1,17.6,8,1,92,8,1
1991/6/2,19.1,8,1,89,8,1
1991/6/3,19.3,8,1,91,8,1
1991/6/4,19.7,8,1,78,8,1
1991/6/5,20.0,8,1,70,8,1
1991/6/6,22.0,8,1,76,8,1
1991/6/7,22.9,8,1,63,8,1
1991/6/8,23.0,8,1,62,8,1
1991/6/9,22.4,8,1,71,8,1
1991/6/10,23.2,8,1,75,8,1
1991/6/11,24.9,8,1,77,8,1
1991/6/12,26.1,8,1,74,8,1
1991/6/13,25.9,8,1,77,8,1
1991/6/14,24.5,8,1,69,8,1
1991/6/15,22.8,8,1,72,8,1
1991/6/16,21.1,8,1,81,8,1
1991/6/17,22.4,8,1,76,8,1
1991/6/18,22.3,8,1,78,8,1
1991/6/19,23.2,8,1,78,8,1
1991/6/20,21.2,8,1,90,8,1
1991/6/21,20.8,8,1,81,8,1
1991/6/22,20.0,8,1,90,8,1
