ダウンロードした時刻：2018/06/07 20:51:45

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/3/1,3.9,8,1,64,8,1
1987/3/2,4.0,8,1,34,8,1
1987/3/3,5.8,8,1,42,8,1
1987/3/4,10.0,8,1,61,8,1
1987/3/5,13.9,8,1,55,8,1
1987/3/6,12.9,8,1,44,8,1
1987/3/7,3.1,8,1,61,8,1
1987/3/8,5.1,8,1,61,8,1
1987/3/9,7.3,8,1,64,8,1
1987/3/10,5.5,8,1,38,8,1
1987/3/11,4.0,8,1,81,8,1
1987/3/12,7.2,8,1,64,8,1
1987/3/13,9.3,8,1,81,8,1
1987/3/14,11.8,8,1,89,8,1
1987/3/15,9.0,8,1,47,8,1
1987/3/16,8.2,8,1,58,8,1
1987/3/17,6.7,8,1,64,8,1
1987/3/18,9.5,8,1,66,8,1
1987/3/19,10.4,8,1,78,8,1
1987/3/20,12.6,8,1,66,8,1
1987/3/21,9.9,8,1,72,8,1
1987/3/22,11.2,8,1,84,8,1
1987/3/23,10.9,8,1,93,8,1
1987/3/24,16.6,8,1,88,8,1
1987/3/25,13.0,8,1,55,8,1
1987/3/26,7.2,8,1,43,8,1
1987/3/27,9.1,8,1,56,8,1
1987/3/28,9.0,8,1,63,8,1
1987/3/29,9.8,8,1,82,8,1
1987/3/30,12.8,8,1,78,8,1
1987/3/31,10.4,8,1,59,8,1
1988/3/1,6.4,8,1,90,8,1
1988/3/2,4.8,8,1,93,8,1
1988/3/3,7.0,8,1,67,8,1
1988/3/4,5.0,8,1,35,8,1
1988/3/5,6.1,8,1,61,8,1
1988/3/6,7.6,8,1,61,8,1
1988/3/7,6.9,8,1,52,8,1
1988/3/8,5.5,8,1,46,8,1
1988/3/9,6.0,8,1,45,8,1
1988/3/10,7.6,8,1,62,8,1
1988/3/11,11.4,8,1,63,8,1
1988/3/12,14.0,8,1,65,8,1
1988/3/13,11.5,8,1,43,8,1
1988/3/14,13.1,8,1,69,8,1
1988/3/15,10.4,8,1,72,8,1
1988/3/16,6.3,8,1,35,8,1
1988/3/17,5.5,8,1,77,8,1
1988/3/18,7.1,8,1,90,8,1
1988/3/19,9.8,8,1,64,8,1
1988/3/20,8.1,8,1,62,8,1
1988/3/21,6.7,8,1,62,8,1
1988/3/22,10.5,8,1,90,8,1
1988/3/23,12.8,8,1,51,8,1
1988/3/24,9.3,8,1,33,8,1
1988/3/25,8.2,8,1,62,8,1
1988/3/26,4.8,8,1,91,8,1
1988/3/27,7.7,8,1,66,8,1
1988/3/28,9.9,8,1,58,8,1
1988/3/29,8.0,8,1,88,8,1
1988/3/30,6.7,8,1,73,8,1
1988/3/31,5.3,8,1,77,8,1
1989/3/1,13.2,8,1,78,8,1
1989/3/2,7.0,8,1,58,8,1
1989/3/3,9.0,8,1,71,8,1
1989/3/4,16.3,8,1,79,8,1
1989/3/5,7.3,8,1,90,8,1
1989/3/6,7.4,8,1,66,8,1
1989/3/7,5.0,8,1,83,8,1
1989/3/8,3.4,8,1,81,8,1
1989/3/9,5.2,8,1,53,8,1
1989/3/10,7.6,8,1,49,8,1
1989/3/11,8.7,8,1,54,8,1
1989/3/12,10.7,8,1,46,8,1
1989/3/13,12.4,8,1,67,8,1
1989/3/14,12.2,8,1,80,8,1
1989/3/15,12.0,8,1,47,8,1
1989/3/16,9.3,8,1,43,8,1
1989/3/17,7.2,8,1,45,8,1
1989/3/18,7.7,8,1,34,8,1
1989/3/19,8.3,8,1,36,8,1
1989/3/20,9.2,8,1,38,8,1
1989/3/21,9.0,8,1,52,8,1
1989/3/22,7.2,8,1,68,8,1
1989/3/23,8.3,8,1,62,8,1
1989/3/24,9.5,8,1,82,8,1
1989/3/25,11.1,8,1,61,8,1
1989/3/26,10.3,8,1,52,8,1
1989/3/27,10.0,8,1,72,8,1
1989/3/28,6.8,8,1,87,8,1
1989/3/29,10.3,8,1,60,8,1
1989/3/30,10.7,8,1,46,8,1
1989/3/31,13.2,8,1,72,8,1
1990/3/1,7.7,8,1,73,8,1
1990/3/2,7.6,8,1,90,8,1
1990/3/3,7.8,8,1,80,8,1
1990/3/4,10.3,8,1,68,8,1
1990/3/5,8.7,8,1,57,8,1
1990/3/6,8.4,8,1,51,8,1
1990/3/7,9.6,8,1,52,8,1
1990/3/8,7.2,8,1,34,8,1
1990/3/9,9.7,8,1,40,8,1
1990/3/10,10.7,8,1,46,8,1
1990/3/11,13.1,8,1,50,8,1
1990/3/12,13.6,8,1,61,8,1
1990/3/13,7.4,8,1,29,8,1
1990/3/14,9.8,8,1,49,8,1
1990/3/15,14.5,8,1,61,8,1
1990/3/16,11.8,8,1,33,8,1
1990/3/17,10.2,8,1,43,8,1
1990/3/18,9.2,8,1,70,8,1
1990/3/19,10.8,8,1,53,8,1
1990/3/20,11.9,8,1,50,8,1
1990/3/21,11.2,8,1,33,8,1
1990/3/22,11.4,8,1,50,8,1
1990/3/23,13.1,8,1,72,8,1
1990/3/24,15.5,8,1,67,8,1
1990/3/25,10.1,8,1,33,8,1
1990/3/26,7.5,8,1,33,8,1
1990/3/27,9.6,8,1,44,8,1
1990/3/28,13.0,8,1,55,8,1
1990/3/29,9.6,8,1,90,8,1
1990/3/30,11.1,8,1,66,8,1
1990/3/31,11.6,8,1,85,8,1
1991/3/1,6.1,8,1,71,8,1
1991/3/2,5.7,8,1,66,8,1
1991/3/3,7.2,8,1,38,8,1
1991/3/4,8.1,8,1,52,8,1
1991/3/5,11.2,8,1,56,8,1
1991/3/6,10.8,8,1,79,8,1
1991/3/7,11.5,8,1,46,8,1
1991/3/8,6.0,8,1,78,8,1
1991/3/9,7.7,8,1,84,8,1
1991/3/10,10.4,8,1,47,8,1
1991/3/11,5.4,8,1,89,8,1
1991/3/12,7.5,8,1,78,8,1
1991/3/13,8.3,8,1,69,8,1
1991/3/14,4.9,8,1,71,8,1
1991/3/15,5.6,8,1,41,8,1
1991/3/16,5.7,8,1,85,8,1
1991/3/17,7.7,8,1,67,8,1
1991/3/18,8.5,8,1,50,8,1
