ダウンロードした時刻：2018/06/07 20:53:07

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/5/1,18.2,8,1,72,8,1
1987/5/2,18.8,8,1,93,8,1
1987/5/3,19.5,8,1,79,8,1
1987/5/4,13.8,8,1,36,8,1
1987/5/5,14.7,8,1,58,8,1
1987/5/6,16.2,8,1,62,8,1
1987/5/7,18.1,8,1,66,8,1
1987/5/8,17.9,8,1,66,8,1
1987/5/9,20.1,8,1,57,8,1
1987/5/10,20.8,8,1,52,8,1
1987/5/11,20.4,8,1,48,8,1
1987/5/12,20.7,8,1,64,8,1
1987/5/13,20.6,8,1,71,8,1
1987/5/14,13.2,8,1,93,8,1
1987/5/15,12.9,8,1,80,8,1
1987/5/16,17.9,8,1,71,8,1
1987/5/17,18.4,8,1,89,8,1
1987/5/18,19.9,8,1,79,8,1
1987/5/19,18.6,8,1,67,8,1
1987/5/20,20.3,8,1,81,8,1
1987/5/21,22.6,8,1,55,8,1
1987/5/22,22.3,8,1,75,8,1
1987/5/23,22.5,8,1,89,8,1
1987/5/24,14.8,8,1,85,8,1
1987/5/25,18.5,8,1,78,8,1
1987/5/26,20.3,8,1,77,8,1
1987/5/27,17.5,8,1,74,8,1
1987/5/28,17.6,8,1,71,8,1
1987/5/29,17.7,8,1,73,8,1
1987/5/30,19.6,8,1,73,8,1
1987/5/31,21.1,8,1,74,8,1
1988/5/1,19.9,8,1,81,8,1
1988/5/2,21.2,8,1,64,8,1
1988/5/3,17.5,8,1,50,8,1
1988/5/4,20.1,8,1,80,8,1
1988/5/5,17.0,8,1,60,8,1
1988/5/6,16.3,8,1,59,8,1
1988/5/7,15.6,8,1,76,8,1
1988/5/8,13.4,8,1,54,8,1
1988/5/9,13.1,8,1,46,8,1
1988/5/10,15.2,8,1,59,8,1
1988/5/11,18.5,8,1,74,8,1
1988/5/12,16.3,8,1,89,8,1
1988/5/13,18.6,8,1,38,8,1
1988/5/14,20.6,8,1,44,8,1
1988/5/15,17.6,8,1,69,8,1
1988/5/16,18.8,8,1,88,8,1
1988/5/17,19.0,8,1,84,8,1
1988/5/18,20.3,8,1,65,8,1
1988/5/19,23.5,8,1,57,8,1
1988/5/20,23.3,8,1,57,8,1
1988/5/21,18.4,8,1,83,8,1
1988/5/22,15.5,8,1,88,8,1
1988/5/23,12.0,8,1,91,8,1
1988/5/24,13.5,8,1,71,8,1
1988/5/25,15.3,8,1,77,8,1
1988/5/26,18.0,8,1,76,8,1
1988/5/27,17.9,8,1,71,8,1
1988/5/28,17.0,8,1,86,8,1
1988/5/29,18.6,8,1,78,8,1
1988/5/30,16.9,8,1,76,8,1
1988/5/31,17.9,8,1,73,8,1
1989/5/1,14.9,8,1,77,8,1
1989/5/2,15.3,8,1,70,8,1
1989/5/3,15.5,8,1,77,8,1
1989/5/4,16.2,8,1,84,8,1
1989/5/5,19.7,8,1,69,8,1
1989/5/6,16.0,8,1,71,8,1
1989/5/7,11.1,8,1,93,8,1
1989/5/8,15.1,8,1,77,8,1
1989/5/9,18.8,8,1,75,8,1
1989/5/10,19.3,8,1,77,8,1
1989/5/11,14.8,8,1,89,8,1
1989/5/12,12.2,8,1,95,8,1
1989/5/13,17.4,8,1,92,8,1
1989/5/14,19.1,8,1,70,8,1
1989/5/15,18.1,8,1,56,8,1
1989/5/16,18.0,8,1,70,8,1
1989/5/17,17.1,8,1,77,8,1
1989/5/18,17.0,8,1,75,8,1
1989/5/19,17.0,8,1,73,8,1
1989/5/20,16.0,8,1,91,8,1
1989/5/21,18.7,8,1,85,8,1
1989/5/22,19.4,8,1,81,8,1
1989/5/23,16.6,8,1,85,8,1
1989/5/24,19.2,8,1,77,8,1
1989/5/25,19.1,8,1,82,8,1
1989/5/26,17.1,8,1,91,8,1
1989/5/27,19.1,8,1,62,8,1
1989/5/28,19.1,8,1,70,8,1
1989/5/29,18.2,8,1,71,8,1
1989/5/30,17.2,8,1,68,8,1
1989/5/31,19.5,8,1,65,8,1
1990/5/1,14.9,8,1,41,8,1
1990/5/2,11.9,8,1,68,8,1
1990/5/3,14.5,8,1,71,8,1
1990/5/4,17.2,8,1,83,8,1
1990/5/5,18.5,8,1,84,8,1
1990/5/6,17.3,8,1,68,8,1
1990/5/7,17.3,8,1,84,8,1
1990/5/8,19.4,8,1,87,8,1
1990/5/9,19.9,8,1,64,8,1
1990/5/10,20.5,8,1,71,8,1
1990/5/11,20.9,8,1,72,8,1
1990/5/12,19.3,8,1,84,8,1
1990/5/13,20.6,8,1,84,8,1
1990/5/14,19.6,8,1,90,8,1
1990/5/15,19.3,8,1,63,8,1
1990/5/16,16.7,8,1,59,8,1
1990/5/17,17.6,8,1,50,8,1
1990/5/18,19.7,8,1,66,8,1
1990/5/19,20.6,8,1,80,8,1
1990/5/20,20.2,8,1,66,8,1
1990/5/21,18.8,8,1,85,8,1
1990/5/22,19.8,8,1,68,8,1
1990/5/23,17.7,8,1,68,8,1
1990/5/24,16.7,8,1,70,8,1
1990/5/25,16.6,8,1,65,8,1
1990/5/26,18.4,8,1,54,8,1
1990/5/27,20.2,8,1,58,8,1
1990/5/28,21.6,8,1,56,8,1
1990/5/29,21.0,8,1,61,8,1
1990/5/30,22.2,8,1,57,8,1
1990/5/31,22.1,8,1,55,8,1
1991/5/1,17.4,8,1,64,8,1
1991/5/2,14.6,8,1,60,8,1
1991/5/3,13.0,8,1,35,8,1
1991/5/4,11.7,8,1,48,8,1
1991/5/5,13.7,8,1,53,8,1
1991/5/6,15.7,8,1,51,8,1
1991/5/7,17.3,8,1,62,8,1
1991/5/8,18.7,8,1,70,8,1
1991/5/9,18.2,8,1,88,8,1
1991/5/10,19.2,8,1,74,8,1
1991/5/11,19.8,8,1,70,8,1
1991/5/12,18.0,8,1,79,8,1
1991/5/13,18.4,8,1,68,8,1
1991/5/14,19.8,8,1,68,8,1
1991/5/15,19.1,8,1,82,8,1
1991/5/16,19.5,8,1,87,8,1
1991/5/17,21.0,8,1,61,8,1
1991/5/18,20.4,8,1,51,8,1
