ダウンロードした時刻：2018/06/07 20:55:09

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/11/1,13.3,8,1,61,8,1
1987/11/2,13.7,8,1,76,8,1
1987/11/3,22.8,8,1,82,8,1
1987/11/4,15.2,8,1,91,8,1
1987/11/5,15.6,8,1,67,8,1
1987/11/6,12.0,8,1,45,8,1
1987/11/7,10.9,8,1,67,8,1
1987/11/8,13.0,8,1,66,8,1
1987/11/9,10.5,8,1,68,8,1
1987/11/10,12.9,8,1,67,8,1
1987/11/11,14.4,8,1,67,8,1
1987/11/12,17.2,8,1,71,8,1
1987/11/13,14.7,8,1,82,8,1
1987/11/14,10.9,8,1,65,8,1
1987/11/15,10.5,8,1,78,8,1
1987/11/16,12.7,8,1,81,8,1
1987/11/17,12.5,8,1,58,8,1
1987/11/18,11.5,8,1,63,8,1
1987/11/19,13.8,8,1,60,8,1
1987/11/20,9.7,8,1,56,8,1
1987/11/21,10.6,8,1,67,8,1
1987/11/22,11.7,8,1,50,8,1
1987/11/23,12.6,8,1,57,8,1
1987/11/24,14.3,8,1,44,8,1
1987/11/25,10.9,8,1,47,8,1
1987/11/26,10.6,8,1,59,8,1
1987/11/27,12.7,8,1,68,8,1
1987/11/28,7.6,8,1,90,8,1
1987/11/29,6.7,8,1,62,8,1
1987/11/30,5.6,8,1,58,8,1
1988/11/1,13.6,8,1,58,8,1
1988/11/2,17.2,8,1,60,8,1
1988/11/3,13.5,8,1,46,8,1
1988/11/4,12.8,8,1,56,8,1
1988/11/5,13.4,8,1,72,8,1
1988/11/6,13.3,8,1,50,8,1
1988/11/7,12.7,8,1,50,8,1
1988/11/8,10.7,8,1,47,8,1
1988/11/9,12.8,8,1,71,8,1
1988/11/10,14.6,8,1,55,8,1
1988/11/11,11.1,8,1,43,8,1
1988/11/12,12.7,8,1,56,8,1
1988/11/13,15.8,8,1,63,8,1
1988/11/14,14.5,8,1,55,8,1
1988/11/15,11.9,8,1,61,8,1
1988/11/16,13.1,8,1,66,8,1
1988/11/17,11.7,8,1,64,8,1
1988/11/18,6.8,8,1,87,8,1
1988/11/19,9.4,8,1,69,8,1
1988/11/20,7.4,8,1,72,8,1
1988/11/21,8.4,8,1,71,8,1
1988/11/22,9.1,8,1,61,8,1
1988/11/23,10.2,8,1,72,8,1
1988/11/24,11.8,8,1,82,8,1
1988/11/25,9.5,8,1,55,8,1
1988/11/26,10.3,8,1,43,8,1
1988/11/27,8.1,8,1,39,8,1
1988/11/28,7.8,8,1,58,8,1
1988/11/29,6.2,8,1,73,8,1
1988/11/30,8.5,8,1,55,8,1
1989/11/1,17.6,8,1,80,8,1
1989/11/2,15.9,8,1,46,8,1
1989/11/3,14.1,8,1,59,8,1
1989/11/4,15.6,8,1,73,8,1
1989/11/5,17.0,8,1,82,8,1
1989/11/6,18.6,8,1,79,8,1
1989/11/7,19.1,8,1,88,8,1
1989/11/8,19.1,8,1,87,8,1
1989/11/9,19.4,8,1,90,8,1
1989/11/10,15.4,8,1,87,8,1
1989/11/11,14.6,8,1,76,8,1
1989/11/12,15.8,8,1,74,8,1
1989/11/13,18.8,8,1,74,8,1
1989/11/14,14.1,8,1,65,8,1
1989/11/15,9.8,8,1,67,8,1
1989/11/16,10.9,8,1,80,8,1
1989/11/17,11.9,8,1,93,8,1
1989/11/18,13.9,8,1,81,8,1
1989/11/19,13.6,8,1,47,8,1
1989/11/20,11.5,8,1,33,8,1
1989/11/21,11.7,8,1,58,8,1
1989/11/22,11.5,8,1,61,8,1
1989/11/23,12.0,8,1,60,8,1
1989/11/24,11.6,8,1,53,8,1
1989/11/25,9.8,8,1,71,8,1
1989/11/26,10.8,8,1,60,8,1
1989/11/27,9.3,8,1,77,8,1
1989/11/28,12.8,8,1,72,8,1
1989/11/29,11.0,8,1,51,8,1
1989/11/30,9.3,8,1,41,8,1
1990/11/1,16.5,8,1,70,8,1
1990/11/2,16.8,8,1,77,8,1
1990/11/3,16.8,8,1,76,8,1
1990/11/4,17.9,8,1,88,8,1
1990/11/5,20.3,8,1,58,8,1
1990/11/6,18.1,8,1,62,8,1
1990/11/7,18.4,8,1,71,8,1
1990/11/8,17.1,8,1,48,8,1
1990/11/9,15.2,8,1,66,8,1
1990/11/10,17.7,8,1,56,8,1
1990/11/11,12.4,8,1,42,8,1
1990/11/12,13.1,8,1,61,8,1
1990/11/13,15.8,8,1,69,8,1
1990/11/14,16.3,8,1,72,8,1
1990/11/15,14.8,8,1,72,8,1
1990/11/16,13.6,8,1,67,8,1
1990/11/17,14.7,8,1,72,8,1
1990/11/18,14.7,8,1,77,8,1
1990/11/19,15.5,8,1,77,8,1
1990/11/20,16.9,8,1,87,8,1
1990/11/21,12.6,8,1,62,8,1
1990/11/22,9.9,8,1,61,8,1
1990/11/23,10.1,8,1,60,8,1
1990/11/24,9.9,8,1,58,8,1
1990/11/25,11.7,8,1,69,8,1
1990/11/26,13.1,8,1,69,8,1
1990/11/27,13.5,8,1,67,8,1
1990/11/28,12.6,8,1,91,8,1
1990/11/29,13.5,8,1,90,8,1
1990/11/30,17.6,8,1,90,8,1
1991/11/1,13.0,8,1,79,8,1
1991/11/2,13.6,8,1,70,8,1
1991/11/3,14.3,8,1,71,8,1
1991/11/4,15.2,8,1,69,8,1
1991/11/5,13.1,8,1,57,8,1
1991/11/6,11.3,8,1,61,8,1
1991/11/7,13.6,8,1,67,8,1
1991/11/8,13.3,8,1,88,8,1
1991/11/9,15.8,8,1,60,8,1
1991/11/10,13.4,8,1,74,8,1
1991/11/11,12.9,8,1,69,8,1
1991/11/12,11.7,8,1,61,8,1
1991/11/13,12.6,8,1,59,8,1
1991/11/14,11.6,8,1,71,8,1
1991/11/15,11.7,8,1,60,8,1
1991/11/16,10.8,8,1,57,8,1
1991/11/17,12.3,8,1,70,8,1
1991/11/18,12.7,8,1,67,8,1
1991/11/19,14.2,8,1,66,8,1
1991/11/20,15.1,8,1,42,8,1
1991/11/21,10.1,8,1,50,8,1
1991/11/22,9.3,8,1,80,8,1
