ダウンロードした時刻：2018/06/07 20:54:47

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/10/1,18.5,8,1,85,8,1
1987/10/2,19.0,8,1,84,8,1
1987/10/3,21.0,8,1,69,8,1
1987/10/4,19.8,8,1,63,8,1
1987/10/5,21.5,8,1,75,8,1
1987/10/6,20.4,8,1,92,8,1
1987/10/7,20.9,8,1,88,8,1
1987/10/8,21.5,8,1,82,8,1
1987/10/9,18.8,8,1,78,8,1
1987/10/10,17.2,8,1,77,8,1
1987/10/11,17.9,8,1,79,8,1
1987/10/12,18.7,8,1,79,8,1
1987/10/13,17.2,8,1,65,8,1
1987/10/14,18.7,8,1,72,8,1
1987/10/15,16.9,8,1,92,8,1
1987/10/16,16.8,8,1,96,8,1
1987/10/17,23.4,8,1,79,8,1
1987/10/18,22.0,8,1,62,8,1
1987/10/19,22.1,8,1,72,8,1
1987/10/20,18.1,8,1,61,8,1
1987/10/21,17.1,8,1,65,8,1
1987/10/22,14.1,8,1,67,8,1
1987/10/23,15.5,8,1,63,8,1
1987/10/24,13.9,8,1,88,8,1
1987/10/25,14.1,8,1,81,8,1
1987/10/26,14.9,8,1,78,8,1
1987/10/27,16.1,8,1,86,8,1
1987/10/28,17.1,8,1,85,8,1
1987/10/29,19.0,8,1,80,8,1
1987/10/30,21.3,8,1,81,8,1
1987/10/31,15.2,8,1,79,8,1
1988/10/1,19.6,8,1,76,8,1
1988/10/2,19.0,8,1,83,8,1
1988/10/3,19.6,8,1,76,8,1
1988/10/4,18.3,8,1,69,8,1
1988/10/5,18.0,8,1,74,8,1
1988/10/6,18.2,8,1,92,8,1
1988/10/7,19.8,8,1,84,8,1
1988/10/8,17.0,8,1,77,8,1
1988/10/9,18.0,8,1,79,8,1
1988/10/10,18.7,8,1,72,8,1
1988/10/11,18.6,8,1,68,8,1
1988/10/12,20.2,8,1,77,8,1
1988/10/13,17.2,8,1,41,8,1
1988/10/14,15.5,8,1,51,8,1
1988/10/15,16.1,8,1,65,8,1
1988/10/16,17.5,8,1,67,8,1
1988/10/17,16.0,8,1,88,8,1
1988/10/18,17.1,8,1,90,8,1
1988/10/19,16.2,8,1,60,8,1
1988/10/20,15.2,8,1,51,8,1
1988/10/21,17.8,8,1,66,8,1
1988/10/22,18.7,8,1,66,8,1
1988/10/23,16.7,8,1,50,8,1
1988/10/24,14.7,8,1,56,8,1
1988/10/25,14.7,8,1,76,8,1
1988/10/26,15.6,8,1,61,8,1
1988/10/27,16.6,8,1,61,8,1
1988/10/28,15.7,8,1,72,8,1
1988/10/29,11.7,8,1,60,8,1
1988/10/30,12.5,8,1,44,8,1
1988/10/31,11.8,8,1,51,8,1
1989/10/1,21.4,8,1,73,8,1
1989/10/2,17.7,8,1,86,8,1
1989/10/3,18.2,8,1,84,8,1
1989/10/4,18.0,8,1,89,8,1
1989/10/5,19.4,8,1,78,8,1
1989/10/6,19.2,8,1,92,8,1
1989/10/7,18.1,8,1,94,8,1
1989/10/8,15.1,8,1,66,8,1
1989/10/9,15.0,8,1,59,8,1
1989/10/10,16.9,8,1,63,8,1
1989/10/11,15.8,8,1,88,8,1
1989/10/12,17.7,8,1,88,8,1
1989/10/13,19.4,8,1,82,8,1
1989/10/14,19.5,8,1,78,8,1
1989/10/15,19.4,8,1,74,8,1
1989/10/16,20.7,8,1,76,8,1
1989/10/17,15.8,8,1,55,8,1
1989/10/18,13.7,8,1,54,8,1
1989/10/19,12.6,8,1,83,8,1
1989/10/20,16.5,8,1,58,8,1
1989/10/21,14.1,8,1,57,8,1
1989/10/22,15.3,8,1,73,8,1
1989/10/23,16.6,8,1,70,8,1
1989/10/24,14.5,8,1,54,8,1
1989/10/25,15.1,8,1,73,8,1
1989/10/26,18.3,8,1,77,8,1
1989/10/27,17.8,8,1,71,8,1
1989/10/28,17.7,8,1,84,8,1
1989/10/29,16.9,8,1,52,8,1
1989/10/30,15.7,8,1,62,8,1
1989/10/31,14.9,8,1,84,8,1
1990/10/1,22.9,8,1,77,8,1
1990/10/2,21.1,8,1,68,8,1
1990/10/3,21.5,8,1,76,8,1
1990/10/4,23.1,8,1,84,8,1
1990/10/5,24.8,8,1,80,8,1
1990/10/6,24.3,8,1,79,8,1
1990/10/7,19.5,8,1,69,8,1
1990/10/8,18.5,8,1,88,8,1
1990/10/9,18.8,8,1,60,8,1
1990/10/10,15.6,8,1,64,8,1
1990/10/11,16.0,8,1,57,8,1
1990/10/12,18.2,8,1,70,8,1
1990/10/13,17.1,8,1,89,8,1
1990/10/14,21.4,8,1,85,8,1
1990/10/15,20.7,8,1,84,8,1
1990/10/16,19.8,8,1,83,8,1
1990/10/17,19.6,8,1,81,8,1
1990/10/18,20.5,8,1,78,8,1
1990/10/19,19.1,8,1,66,8,1
1990/10/20,18.2,8,1,69,8,1
1990/10/21,17.2,8,1,61,8,1
1990/10/22,16.2,8,1,62,8,1
1990/10/23,15.6,8,1,73,8,1
1990/10/24,15.7,8,1,82,8,1
1990/10/25,16.9,8,1,66,8,1
1990/10/26,18.7,8,1,76,8,1
1990/10/27,18.8,8,1,48,8,1
1990/10/28,15.1,8,1,56,8,1
1990/10/29,15.5,8,1,63,8,1
1990/10/30,13.3,8,1,87,8,1
1990/10/31,16.3,8,1,74,8,1
1991/10/1,18.7,8,1,94,8,1
1991/10/2,20.5,8,1,79,8,1
1991/10/3,22.3,8,1,79,8,1
1991/10/4,23.8,8,1,75,8,1
1991/10/5,22.8,8,1,69,8,1
1991/10/6,18.1,8,1,85,8,1
1991/10/7,17.8,8,1,94,8,1
1991/10/8,17.5,8,1,92,8,1
1991/10/9,16.4,8,1,91,8,1
1991/10/10,16.9,8,1,93,8,1
1991/10/11,17.7,8,1,93,8,1
1991/10/12,18.9,8,1,89,8,1
1991/10/13,19.3,8,1,86,8,1
1991/10/14,17.0,8,1,74,8,1
1991/10/15,17.0,8,1,62,8,1
1991/10/16,16.2,8,1,61,8,1
1991/10/17,17.7,8,1,80,8,1
1991/10/18,18.3,8,1,80,8,1
