ダウンロードした時刻：2018/06/07 20:54:28

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1987/9/1,28.4,8,1,69,8,1
1987/9/2,25.2,8,1,70,8,1
1987/9/3,21.4,8,1,88,8,1
1987/9/4,20.4,8,1,95,8,1
1987/9/5,23.5,8,1,90,8,1
1987/9/6,25.5,8,1,81,8,1
1987/9/7,26.1,8,1,85,8,1
1987/9/8,26.6,8,1,80,8,1
1987/9/9,27.7,8,1,82,8,1
1987/9/10,27.0,8,1,88,8,1
1987/9/11,23.6,8,1,92,8,1
1987/9/12,22.2,8,1,76,8,1
1987/9/13,21.4,8,1,78,8,1
1987/9/14,22.9,8,1,76,8,1
1987/9/15,23.8,8,1,77,8,1
1987/9/16,22.3,8,1,90,8,1
1987/9/17,20.6,8,1,83,8,1
1987/9/18,21.2,8,1,70,8,1
1987/9/19,19.6,8,1,84,8,1
1987/9/20,20.7,8,1,80,8,1
1987/9/21,21.9,8,1,78,8,1
1987/9/22,21.7,8,1,80,8,1
1987/9/23,20.7,8,1,64,8,1
1987/9/24,20.8,8,1,70,8,1
1987/9/25,23.9,8,1,85,8,1
1987/9/26,23.8,8,1,87,8,1
1987/9/27,20.1,8,1,73,8,1
1987/9/28,17.0,8,1,80,8,1
1987/9/29,18.5,8,1,78,8,1
1987/9/30,16.8,8,1,84,8,1
1988/9/1,25.2,8,1,78,8,1
1988/9/2,23.9,8,1,87,8,1
1988/9/3,24.2,8,1,83,8,1
1988/9/4,23.3,8,1,77,8,1
1988/9/5,22.5,8,1,76,8,1
1988/9/6,22.4,8,1,87,8,1
1988/9/7,23.1,8,1,91,8,1
1988/9/8,23.3,8,1,86,8,1
1988/9/9,24.3,8,1,79,8,1
1988/9/10,24.4,8,1,81,8,1
1988/9/11,25.4,8,1,86,8,1
1988/9/12,26.3,8,1,81,8,1
1988/9/13,24.3,8,1,79,8,1
1988/9/14,22.3,8,1,80,8,1
1988/9/15,21.9,8,1,92,8,1
1988/9/16,24.8,8,1,70,8,1
1988/9/17,21.0,8,1,81,8,1
1988/9/18,21.8,8,1,79,8,1
1988/9/19,23.4,8,1,80,8,1
1988/9/20,24.2,8,1,87,8,1
1988/9/21,23.5,8,1,84,8,1
1988/9/22,21.0,8,1,86,8,1
1988/9/23,20.1,8,1,92,8,1
1988/9/24,20.2,8,1,95,8,1
1988/9/25,20.8,8,1,94,8,1
1988/9/26,19.6,8,1,91,8,1
1988/9/27,20.2,8,1,94,8,1
1988/9/28,19.9,8,1,93,8,1
1988/9/29,19.7,8,1,83,8,1
1988/9/30,18.2,8,1,84,8,1
1989/9/1,27.3,8,1,74,8,1
1989/9/2,27.9,8,1,77,8,1
1989/9/3,27.4,8,1,77,8,1
1989/9/4,24.0,8,1,89,8,1
1989/9/5,25.2,8,1,90,8,1
1989/9/6,27.1,8,1,79,8,1
1989/9/7,25.4,8,1,91,8,1
1989/9/8,25.5,8,1,91,8,1
1989/9/9,26.2,8,1,84,8,1
1989/9/10,26.5,8,1,75,8,1
1989/9/11,26.3,8,1,80,8,1
1989/9/12,27.0,8,1,79,8,1
1989/9/13,27.1,8,1,71,8,1
1989/9/14,26.4,8,1,78,8,1
1989/9/15,27.7,8,1,79,8,1
1989/9/16,25.3,8,1,75,8,1
1989/9/17,24.2,8,1,75,8,1
1989/9/18,27.3,8,1,80,8,1
1989/9/19,26.5,8,1,79,8,1
1989/9/20,24.0,8,1,64,8,1
1989/9/21,20.8,8,1,74,8,1
1989/9/22,22.1,8,1,88,8,1
1989/9/23,22.1,8,1,85,8,1
1989/9/24,20.3,8,1,74,8,1
1989/9/25,21.9,8,1,76,8,1
1989/9/26,22.5,8,1,68,8,1
1989/9/27,22.6,8,1,71,8,1
1989/9/28,25.3,8,1,75,8,1
1989/9/29,22.1,8,1,68,8,1
1989/9/30,20.2,8,1,76,8,1
1990/9/1,27.2,8,1,70,8,1
1990/9/2,26.4,8,1,76,8,1
1990/9/3,27.2,8,1,74,8,1
1990/9/4,28.9,8,1,67,8,1
1990/9/5,25.5,8,1,74,8,1
1990/9/6,25.6,8,1,78,8,1
1990/9/7,21.3,8,1,84,8,1
1990/9/8,22.7,8,1,72,8,1
1990/9/9,23.0,8,1,70,8,1
1990/9/10,25.2,8,1,75,8,1
1990/9/11,27.1,8,1,76,8,1
1990/9/12,29.1,8,1,69,8,1
1990/9/13,26.7,8,1,74,8,1
1990/9/14,23.9,8,1,84,8,1
1990/9/15,25.6,8,1,82,8,1
1990/9/16,22.0,8,1,86,8,1
1990/9/17,24.4,8,1,87,8,1
1990/9/18,27.1,8,1,75,8,1
1990/9/19,27.3,8,1,74,8,1
1990/9/20,26.6,8,1,57,8,1
1990/9/21,22.2,8,1,55,8,1
1990/9/22,21.7,8,1,63,8,1
1990/9/23,22.9,8,1,68,8,1
1990/9/24,24.5,8,1,71,8,1
1990/9/25,24.9,8,1,74,8,1
1990/9/26,19.8,8,1,90,8,1
1990/9/27,19.6,8,1,78,8,1
1990/9/28,22.2,8,1,69,8,1
1990/9/29,22.4,8,1,73,8,1
1990/9/30,20.8,8,1,90,8,1
1991/9/1,27.3,8,1,68,8,1
1991/9/2,26.4,8,1,73,8,1
1991/9/3,27.2,8,1,77,8,1
1991/9/4,28.0,8,1,76,8,1
1991/9/5,27.8,8,1,76,8,1
1991/9/6,28.1,8,1,72,8,1
1991/9/7,27.7,8,1,73,8,1
1991/9/8,25.9,8,1,91,8,1
1991/9/9,25.1,8,1,84,8,1
1991/9/10,23.6,8,1,81,8,1
1991/9/11,22.4,8,1,88,8,1
1991/9/12,25.2,8,1,76,8,1
1991/9/13,22.3,8,1,91,8,1
1991/9/14,25.9,8,1,82,8,1
1991/9/15,22.9,8,1,77,8,1
1991/9/16,20.6,8,1,84,8,1
1991/9/17,21.7,8,1,81,8,1
1991/9/18,22.1,8,1,89,8,1
1991/9/19,23.3,8,1,93,8,1
1991/9/20,20.8,8,1,80,8,1
1991/9/21,18.9,8,1,92,8,1
1991/9/22,20.9,8,1,83,8,1
